code_in_XMLs	resolved_code_and_link	note	organization	location	status
WTC	[[Collection WTU|WTU]]	Typo or alternative spelling. Should be WTU			
WTL	[[Collection WTU|WTU]]	Typo or alternative spelling. Should be WTU			
WTU	[[Collection WTU|WTU]]	Automatically matched with IH	University of Washington	Seattle, Washington, U.S.A.	Active
WU	[[Collection WU|WU]]	Automatically matched with IH	Universität Wien	Wien, Austria	Active
WVA	[[Collection WVA|WVA]]	Automatically matched with IH	West Virginia University	Morgantown, West Virginia, U.S.A.	Active
WVU	[[Collection WVA|WVU]]	Not an OCR error. Same in IH-Collectors. Multiple occurrences. Most surely WVA			
WYAC	[[Collection WYAC|WYAC]]	Automatically matched with IH	University of Wyoming	Laramie, Wyoming, U.S.A.	Active
WYO	[[Collection WYO|WYO]]	Alternative spelling? Wyoming? RM?			
XAL	[[Collection XAL|XAL]]	Automatically matched with IH	Instituto de Ecología, A.C.	Xalapa, Veracruz, Mexico	Active
Y	[[Collection Y|Y]]	Automatically matched with IH	Yale University	New Haven, Connecticut, U.S.A.	Inactive
YK	[[Collection YK|YK]]	Automatically matched with IH	Bootham School	York, England, U.K.	Active
YRK	[[Collection YRK|YRK]]	Automatically matched with IH	Yorkshire Museum	York, England, U.K.	Active
YU	[[Collection YU|YU]]	Automatically matched with IH	Yale University	New Haven, Connecticut, U.S.A.	Active
Z	[[Collection Z|Z]]	Automatically matched with IH	Herbarium of the University of Zürich	Zürich, Switzerland	Active
ZA	[[Collection ZA|ZA]]	Automatically matched with IH	University of Zagreb	Zagreb, Croatia	Active
ZJFI	[[Collection ZJFI|ZJFI]]	Automatically matched with IH	Zhejiang Forestry Institute	Hangzhou, Zhejiang, People's Republic of China	Active
ZSS	[[Collection ZSS|ZSS]]	Automatically matched with IH	Sukkulenten-Sammlung Zürich	Zürich, Switzerland	Active
ZT	[[Collection ZT|ZT]]	Automatically matched with IH	Herbarium der Eidgenössische Technische Hochschule Zürich	Zürich, Switzerland	Active
ZVS	[[Collection ZVS|ZVS]]	Automatically matched with IH	Bundesamt für Naturschutz	Bad Godesberg, Germany	Inactive
